path,extension,bytes,folder
connectors/CONNECTOR_CONTRACT.md,.md,613,connectors
connectors/rest_json_connector/connector.yaml,.yaml,294,connectors/rest_json_connector
connectors/rest_json_connector/fetch.py,.py,505,connectors/rest_json_connector
connectors/rest_json_connector/validate.py,.py,508,connectors/rest_json_connector
connectors/rest_json_connector/parse.py,.py,505,connectors/rest_json_connector
connectors/rest_json_connector/test_contract.py,.py,513,connectors/rest_json_connector
connectors/ckan_connector/connector.yaml,.yaml,289,connectors/ckan_connector
connectors/ckan_connector/package_search.py,.py,504,connectors/ckan_connector
connectors/ckan_connector/package_show.py,.py,502,connectors/ckan_connector
connectors/ckan_connector/resource_download.py,.py,507,connectors/ckan_connector
connectors/ckan_connector/schema_infer.py,.py,502,connectors/ckan_connector
connectors/socrata_connector/connector.yaml,.yaml,292,connectors/socrata_connector
connectors/socrata_connector/soda_query.py,.py,506,connectors/socrata_connector
connectors/socrata_connector/pagination.py,.py,506,connectors/socrata_connector
connectors/socrata_connector/app_token_policy.md,.md,104,connectors/socrata_connector
connectors/stac_connector/connector.yaml,.yaml,289,connectors/stac_connector
connectors/stac_connector/search_items.py,.py,502,connectors/stac_connector
connectors/stac_connector/asset_download.py,.py,504,connectors/stac_connector
connectors/stac_connector/cloud_optimized_geotiff_parse.py,.py,519,connectors/stac_connector
connectors/oai_pmh_connector/connector.yaml,.yaml,292,connectors/oai_pmh_connector
connectors/oai_pmh_connector/harvest_records.py,.py,511,connectors/oai_pmh_connector
connectors/oai_pmh_connector/resumption_token.py,.py,512,connectors/oai_pmh_connector
connectors/oai_pmh_connector/metadata_crosswalk.py,.py,514,connectors/oai_pmh_connector
connectors/sparql_connector/connector.yaml,.yaml,291,connectors/sparql_connector
connectors/sparql_connector/query_executor.py,.py,508,connectors/sparql_connector
connectors/sparql_connector/rate_limit.py,.py,504,connectors/sparql_connector
connectors/sparql_connector/rdf_to_graph.py,.py,506,connectors/sparql_connector
connectors/sdmx_connector/connector.yaml,.yaml,289,connectors/sdmx_connector
connectors/sdmx_connector/dataflow_discovery.py,.py,508,connectors/sdmx_connector
connectors/sdmx_connector/series_pull.py,.py,501,connectors/sdmx_connector
