path,size_bytes,sha256
00_START_HERE/JARVIS_FINAL_ENGINEER_HANDOFF_SINGLE_TEXT_FILE.txt,2849,10d24dfdc19e865cd18994da2b1a8f2344874bbd41a37633ecb6494aa88a58b3
00_START_HERE/README_START_HERE.md,1683,3ffb9943fc693796211e77f68ce36e031459f8319050cb54199d2f5a8fcab981
00_START_HERE/asset_counts_summary.json,334,12832c43f0b922f71d8f4a0aa2aec9384ecbe2fcddbbaa34fbba7aab874b0988
00_START_HERE/live_data_snapshot.json,1557,51f9fc38f173f630ef236d851d365e48e3f125454ea31c7d8c9efe3c6ba0def4
01_research/RESEARCH_BASE_AND_TECH_JUSTIFICATION.md,1544,cf334b6a3113b2bcff40657f90431bcc7d8575307e8da478ab94bcdd77e63d5e
01_research/research_sources.csv,1505,6aa3773025d56636324b6ede81862cb2f429badf5bcc82addffc88ac880bdd7a
02_architecture/DATA_FLOW_AND_CONTROL_FLOW.md,991,3edfb8b5764a57e92c89e620adfa525fbc76a0f17a86dae83ce6141e931e41e3
02_architecture/FINAL_SYSTEM_ARCHITECTURE.md,1483,19e78193400c96d7cd5678d9598d35724089a19afb13e044c4bfcefa35b8a2de
02_architecture/TECH_STACK_FINAL_DECISIONS.md,1040,3065c25eea470e1fa939122f43ac8634b98f39290a17dc325600b97c2798c2fe
03_ui_panels/PANEL_BY_PANEL_FINAL_SPEC.md,1814,e84bbd995bed19999c1075477081e94ba0d1742b7ca979ac4c2cb2f5a0011d2b
03_ui_panels/WHAT_NEEDS_IMAGE_GLB_ANIMATION.md,634,3759d8c516dfe86ee6af9d11ccced7931bf89cfe8db16fd8daa535d393d77984
03_ui_panels/feature_matrix.csv,6939,df4173485078227c8f349c4f32293898cf08217b779511829b63da1a2e854aca
04_assets/ASSET_COUNT_AUDIT.md,669,9bda5fa41dc9bdc37a70388f071b1159535d56f3bc487c77294230e8baaa86a7
04_assets/GLB_PBR_GENERATION_RULES.md,496,5ef46dbef6fd2c693f49adf6f91f2bdd4b6cf10559bb81528026c49a603f9ed5
04_assets/IMAGE_GENERATION_RULES.md,479,67be7b05a283084e179a4da02a9307686c41355aff915449d7a8024414207277
04_assets/animation_vfx/animation_vfx_inventory.csv,9852,eef8c95f90215b844a214c1c9f1e0693701ddde2d9b02fa8fe462860a39d87fb
04_assets/glb_pbr/tripo3d_glb_pbr_asset_inventory.csv,13513,b0bc51ae1d2d13fe1ed010fb06451c9e8b1233d0102577b872a397b92d194b73
04_assets/images/gpt_image_2_asset_inventory.csv,11103,7d73feb58b07e0cb4dba7a71894a35f3a3b70f2ba989b475471fcbed037d9dba
04_assets/reference/jarvis_v2_dashboard_mockup_reference.png,2023531,0c23b0568bbffbc2d333cbb8e812ab34025bb081ec0e791091844419f353cae2
04_assets/sfx/sfx_inventory.csv,5203,8889c07bdc39b9d03331a0fb5b534237d51f70c9531f5c7948e66bfdb51e6cc2
05_prompts/claude_engineer/CLAUDE_AGENT_FINAL_BUILD_PROMPT.md,767,ca1809ac59357a0265bd8555bbe895c0fa4b1c8439ba3a24c6810f85c0c85cc0
05_prompts/gpt_image_2/GPT_IMAGE_2_MASTER_PROMPT_STYLE_GUIDE.md,416,60e7b372d7d7b00fda269d81d82514d32f3967b114218a3964bcb50be0ec5849
05_prompts/gpt_image_2/gpt_image_2_prompts.jsonl,50640,5b61b0a06dfe2813644771a2cb274e19c7b19b292587df8cd1bf176c72f6da40
05_prompts/tripo3d/TRIPO3D_MASTER_PROMPT_STYLE_GUIDE.md,386,42047f1f49287714cc7928dd9818dae080a5308eba7b7c0bbea042d0d8016290
05_prompts/tripo3d/tripo3d_glb_prompts.jsonl,68634,4dfa7f96dfcc1951d44edbafe3b9e667d7334e6886ab416c04391ad14474b66b
06_api/API_CONTRACTS_FINAL.md,803,112b407720ac31961a89ef469d415925f26eea0dc7911b609600fd57bd471336
06_api/api_endpoint_inventory.csv,6130,6703e17ac635d7d4f4f5b7a527d486b5763e47e0fd219f1556c90fe05208eedd
06_api/openapi_skeleton.yaml,916,174dd5e30533e84b12312074065efe6e9f5c3d7003f465083263722381a4b38e
07_frontend/FRONTEND_COMPONENT_TREE.md,480,41fad2a2e55ae943c317a9a1af10b62db69cde238cb8831b5745a8d7a7840bc7
07_frontend/components/AnimatedToggle.tsx,271,5bc815b2e5384c90c53419ca7d2a38e094020f79728e24900283f59e8bc1c99c
07_frontend/components/PipelineControls.tsx,231,eeaa3b5364c7005b416f0ef540a6733da6c19aac3f50bd3f1dfed01201cdbc3b
07_frontend/styles/INTERACTION_AND_MOTION_RULES.md,393,4b8de94c22266604f5cb17563ed0da65e2350850aea32a2e3063e3dd7770e8e3
07_frontend/three_scene/JarvisBrainCanvas.tsx,146,aec27e2dcd6f4eb87b102f48c77426283ecd5cea188bcb662c6ce3abb09c16ae
07_frontend/three_scene/scene_manifest.example.json,278,c05bafe991832787718a1b7b7028e05b712a0f90374d21b43f3a06c8ab7569cd
08_backend/SERVICE_MAP_FINAL.md,706,d285ba47f8cb53f7863569d0472ec04475b9167a00f9078090c4cda6914cc238
08_backend/schemas/dashboard_state.schema.json,477,9fb7d17c214649d7c84a810b6f36bd02ec2b8ba3618687ae3265ff96e725cbe6
08_backend/schemas/pipeline_state.schema.json,656,f5431faa4c788359a4de059180ae00225376cc733eeefc8e5b0e0eda2213db68
08_backend/services/assetForge.ts,159,0928ee668ba59df4eadc2be090976a57a2a4b74f569ec6f5eb31a6969e26249b
08_backend/services/llmRouter.ts,156,b5abc58606ad3f2ead8daa4c7cf316a35d9ab13208381b050830d55ad5e80535
08_backend/services/pipelineController.ts,270,4094d07e66aead2404698588c17a67cf5431af34aa1d57ae4f4852e16b8ceed3
08_backend/services/resourceMonitor.ts,152,a48b5703602c663b254570c3469f9f50034827270a4a164a34cdd91acce89aea
09_workers/PIPELINE_STATE_AND_ACTION_SPEC.md,773,ce7a46d088f1c663f748a6537ca034cd380d9ba9aab9dfcfdf81f6f306c5fa1b
09_workers/WORKER_TIER_POLICY.md,655,8dd7e28de901a33cb1c8b9d96ecfcfc02bbba53e6fe44e049802014834e44a03
10_cross_correlation/CROSS_CORRELATION_DAEMON_FINAL_SPEC.md,1112,446e3d1b7373a25412927ff34539b576819b5575712f27848670e8efc1468a1e
11_llm_inference_control/INFERENCE_CONTROL_PLANE_FINAL.md,924,0827290b8bfd9d6e3f03d00d3ef04eb4b8e1ded7267b3f913499865e1be9b244
11_llm_inference_control/ROUTER_DECISION_SCHEMA.md,559,925ad6347c26d6964f79b55651dcb39e65e2d325e031ea9ea963de75f7c0a31b
12_voice_alerts/VOICE_AND_ALERTS_FINAL_SPEC.md,372,410f409ea32fd0a178d488364d6f32a48749223ebd440ef035214760c70d86bd
13_asset_forge/ASSET_FORGE_FINAL_SPEC.md,612,5eed5ebe95522426cf946cb99702d7b9838ea18054cf0c9e22844c0acbef7462
14_implementation/BUILD_ORDER_FINAL.md,541,40cba2df507dfe0c07294ebf2ce4a93789e6c5c8f6572fe30ed6b126af72fd4a
14_implementation/DEPLOYMENT_AND_ROLLBACK_RUNBOOK.md,633,46227f6b36b7f891af99176a40e664b8865df5169c07437484cc487a8b6508c2
14_implementation/implementation_backlog.csv,6215,4e167d50b97fa8dc03fa53217631f9fdbad93f4657c76bc8a0919eff2f556798
15_qa/ACCEPTANCE_CHECKLIST.md,765,ae2aac5f53decccc5f495a38e970c8c3c6b73b5cae024d79dde1a91c99309432
15_qa/FILE_BY_FILE_REVIEW.md,5170,0a0306f835d4e7ca505d77002763b512fc49a3294f62dcc5c0992dfe674a4ed0
15_qa/FILE_MANIFEST.csv,6392,09e531628625f73771ed3ff317f88760fba924f9f76a5bb9186afb3c24fd95df
15_qa/FINAL_QA_DOUBLE_CHECK_REPORT.md,1338,f005e84fc35b023ea417b4535c54fffa69d117f7bc7ef0bfab1d538514a1aeaf
scripts/README.md,156,f19a4d02bd0fcf0055412fb6b313cdd5a8afac59ecad3a4b5abb4173537d0754
scripts/generate_asset_jobs_from_csv.ts,139,0b9eb8844152ed2196ea4c36567d44651a2b9fb7b5cfbbcdb3d5e12ab42a5809
scripts/validate_pack_counts.py,1042,af8306ab54574cb9648f8e5db0e72bfe94b4371b5b121f107e8c66bd09ee5c1b
