category,name,type,file_path,identifier,description
API Endpoint,handler,endpoint,server/auth_tenancy.py,handler,server/auth_tenancy.py route handler
API Endpoint,root,endpoint,server/main.py,root,server/main.py route handler
API Endpoint,health,endpoint,server/main.py,health,server/main.py route handler
API Endpoint,get_metrics,endpoint,server/routes/admin.py,get_metrics,admin.py route handler
API Endpoint,get_health_deep,endpoint,server/routes/admin.py,get_health_deep,admin.py route handler
API Endpoint,get_gpu_status,endpoint,server/routes/admin.py,get_gpu_status,admin.py route handler
API Endpoint,post_gpu_infer,endpoint,server/routes/admin.py,post_gpu_infer,admin.py route handler
API Endpoint,post_gpu_embed,endpoint,server/routes/admin.py,post_gpu_embed,admin.py route handler
API Endpoint,get_admin_summary,endpoint,server/routes/admin.py,get_admin_summary,admin.py route handler
API Endpoint,get_admin_roles,endpoint,server/routes/admin.py,get_admin_roles,admin.py route handler
API Endpoint,pm2_list,endpoint,server/routes/admin.py,pm2_list,admin.py route handler
API Endpoint,pm2_action,endpoint,server/routes/admin.py,pm2_action,admin.py route handler
API Endpoint,pipeline_status,endpoint,server/routes/admin.py,pipeline_status,admin.py route handler
API Endpoint,pipeline_start,endpoint,server/routes/admin.py,pipeline_start,admin.py route handler
API Endpoint,pipeline_deploy,endpoint,server/routes/admin.py,pipeline_deploy,admin.py route handler
API Endpoint,ask_route,endpoint,server/routes/aip.py,ask_route,aip.py route handler
API Endpoint,predict_route,endpoint,server/routes/aip.py,predict_route,aip.py route handler
API Endpoint,oracle_route,endpoint,server/routes/aip.py,oracle_route,aip.py route handler
API Endpoint,skill_route,endpoint,server/routes/aip.py,skill_route,aip.py route handler
API Endpoint,tools_route,endpoint,server/routes/aip_tools.py,tools_route,aip_tools.py route handler
API Endpoint,call_route,endpoint,server/routes/aip_tools.py,call_route,aip_tools.py route handler
API Endpoint,list_proposals_route,endpoint,server/routes/aip_tools.py,list_proposals_route,aip_tools.py route handler
API Endpoint,propose_route,endpoint,server/routes/aip_tools.py,propose_route,aip_tools.py route handler
API Endpoint,approve_route,endpoint,server/routes/aip_tools.py,approve_route,aip_tools.py route handler
API Endpoint,reject_route,endpoint,server/routes/aip_tools.py,reject_route,aip_tools.py route handler
API Endpoint,plan_run_route,endpoint,server/routes/aip_tools.py,plan_run_route,aip_tools.py route handler
API Endpoint,workflow_route,endpoint,server/routes/aip_tools.py,workflow_route,aip_tools.py route handler
API Endpoint,agent_studio_route,endpoint,server/routes/aip_tools.py,agent_studio_route,aip_tools.py route handler
API Endpoint,eval_route,endpoint,server/routes/aip_tools.py,eval_route,aip_tools.py route handler
API Endpoint,eval_benchmark_route,endpoint,server/routes/aip_tools.py,eval_benchmark_route,aip_tools.py route handler
API Endpoint,providers_route,endpoint,server/routes/aip_tools.py,providers_route,aip_tools.py route handler
API Endpoint,me,endpoint,server/routes/auth.py,me,auth.py route handler
API Endpoint,get_people,endpoint,server/routes/brain_crm.py,get_people,brain_crm.py route handler
API Endpoint,post_mention,endpoint,server/routes/brain_crm.py,post_mention,brain_crm.py route handler
API Endpoint,get_person,endpoint,server/routes/brain_crm.py,get_person,brain_crm.py route handler
API Endpoint,get_health,endpoint,server/routes/brain_extras.py,get_health,brain_extras.py route handler
API Endpoint,post_heal_orphans,endpoint,server/routes/brain_extras.py,post_heal_orphans,brain_extras.py route handler
API Endpoint,get_autopilot_scan,endpoint,server/routes/brain_extras.py,get_autopilot_scan,brain_extras.py route handler
API Endpoint,post_autopilot_run,endpoint,server/routes/brain_extras.py,post_autopilot_run,brain_extras.py route handler
API Endpoint,get_autopilot_network,endpoint,server/routes/brain_extras.py,get_autopilot_network,brain_extras.py route handler
API Endpoint,get_autopilot_plan,endpoint,server/routes/brain_extras.py,get_autopilot_plan,brain_extras.py route handler
API Endpoint,post_autopilot_plan,endpoint,server/routes/brain_extras.py,post_autopilot_plan,brain_extras.py route handler
API Endpoint,get_sources,endpoint,server/routes/brain_extras.py,get_sources,brain_extras.py route handler
API Endpoint,get_sources_probe,endpoint,server/routes/brain_extras.py,get_sources_probe,brain_extras.py route handler
API Endpoint,post_autopilot_enrich,endpoint,server/routes/brain_extras.py,post_autopilot_enrich,brain_extras.py route handler
API Endpoint,post_challenge,endpoint,server/routes/brain_extras.py,post_challenge,brain_extras.py route handler
API Endpoint,post_panel,endpoint,server/routes/brain_extras.py,post_panel,brain_extras.py route handler
API Endpoint,post_connect,endpoint,server/routes/brain_extras.py,post_connect,brain_extras.py route handler
API Endpoint,post_emerge,endpoint,server/routes/brain_extras.py,post_emerge,brain_extras.py route handler
API Endpoint,research_endpoint,endpoint,server/routes/brain_research.py,research_endpoint,brain_research.py route handler
API Endpoint,ingest_endpoint,endpoint,server/routes/brain_research.py,ingest_endpoint,brain_research.py route handler
API Endpoint,reconcile_endpoint,endpoint,server/routes/brain_research.py,reconcile_endpoint,brain_research.py route handler
API Endpoint,synthesize_endpoint,endpoint,server/routes/brain_research.py,synthesize_endpoint,brain_research.py route handler
API Endpoint,bridge_status,endpoint,server/routes/bridge.py,bridge_status,bridge.py route handler
API Endpoint,bridge_graph,endpoint,server/routes/bridge.py,bridge_graph,bridge.py route handler
API Endpoint,bridge_counterfactual,endpoint,server/routes/bridge.py,bridge_counterfactual,bridge.py route handler
API Endpoint,bridge_optimize,endpoint,server/routes/bridge.py,bridge_optimize,bridge.py route handler
API Endpoint,bridge_temporal,endpoint,server/routes/bridge.py,bridge_temporal,bridge.py route handler
API Endpoint,predict_endpoint,endpoint,server/routes/chat_predict.py,predict_endpoint,chat_predict.py route handler
API Endpoint,route_endpoint,endpoint,server/routes/chat_predict.py,route_endpoint,chat_predict.py route handler
API Endpoint,list_scenes,endpoint,server/routes/cinematic.py,list_scenes,cinematic.py route handler
API Endpoint,hydrate_scene,endpoint,server/routes/cinematic.py,hydrate_scene,cinematic.py route handler
API Endpoint,acquire_status,endpoint,server/routes/cinematic.py,acquire_status,cinematic.py route handler
API Endpoint,brain,endpoint,server/routes/cinematic.py,brain,cinematic.py route handler
API Endpoint,get_notes,endpoint,server/routes/collab.py,get_notes,collab.py route handler
API Endpoint,post_note,endpoint,server/routes/collab.py,post_note,collab.py route handler
API Endpoint,patch_note,endpoint,server/routes/collab.py,patch_note,collab.py route handler
API Endpoint,delete_note,endpoint,server/routes/collab.py,delete_note,collab.py route handler
API Endpoint,get_activity,endpoint,server/routes/collab.py,get_activity,collab.py route handler
API Endpoint,get_schedules,endpoint,server/routes/collab.py,get_schedules,collab.py route handler
API Endpoint,post_schedule,endpoint,server/routes/collab.py,post_schedule,collab.py route handler
API Endpoint,post_toggle,endpoint,server/routes/collab.py,post_toggle,collab.py route handler
API Endpoint,get_connectors,endpoint,server/routes/connectors.py,get_connectors,connectors.py route handler
API Endpoint,post_preview,endpoint,server/routes/connectors.py,post_preview,connectors.py route handler
API Endpoint,get_one,endpoint,server/routes/connectors.py,get_one,connectors.py route handler
API Endpoint,get_runs,endpoint,server/routes/connectors.py,get_runs,connectors.py route handler
API Endpoint,post_connector,endpoint,server/routes/connectors.py,post_connector,connectors.py route handler
API Endpoint,delete_one,endpoint,server/routes/connectors.py,delete_one,connectors.py route handler
API Endpoint,post_run,endpoint,server/routes/connectors.py,post_run,connectors.py route handler
API Endpoint,post_backfill,endpoint,server/routes/connectors.py,post_backfill,connectors.py route handler
API Endpoint,cop_snapshot,endpoint,server/routes/cop.py,cop_snapshot,cop.py route handler
API Endpoint,cop_snapshot_post,endpoint,server/routes/cop.py,cop_snapshot_post,cop.py route handler
API Endpoint,cop_layers,endpoint,server/routes/cop.py,cop_layers,cop.py route handler
API Endpoint,cop_toggle_layer,endpoint,server/routes/cop.py,cop_toggle_layer,cop.py route handler
API Endpoint,cop_get_selection,endpoint,server/routes/cop.py,cop_get_selection,cop.py route handler
API Endpoint,cop_set_selection,endpoint,server/routes/cop.py,cop_set_selection,cop.py route handler
API Endpoint,cop_sync,endpoint,server/routes/cop.py,cop_sync,cop.py route handler
API Endpoint,get_datasets,endpoint,server/routes/datasets.py,get_datasets,datasets.py route handler
API Endpoint,get_lineage,endpoint,server/routes/datasets.py,get_lineage,datasets.py route handler
API Endpoint,get_one,endpoint,server/routes/datasets.py,get_one,datasets.py route handler
API Endpoint,get_health,endpoint,server/routes/datasets.py,get_health,datasets.py route handler
API Endpoint,post_dataset,endpoint,server/routes/datasets.py,post_dataset,datasets.py route handler
API Endpoint,post_version,endpoint,server/routes/datasets.py,post_version,datasets.py route handler
API Endpoint,post_transform,endpoint,server/routes/datasets.py,post_transform,datasets.py route handler
API Endpoint,post_seed,endpoint,server/routes/datasets.py,post_seed,datasets.py route handler
API Endpoint,list_entities,endpoint,server/routes/entities.py,list_entities,entities.py route handler
API Endpoint,get_entity,endpoint,server/routes/entities.py,get_entity,entities.py route handler
API Endpoint,create_entity,endpoint,server/routes/entities.py,create_entity,entities.py route handler
API Endpoint,update_entity,endpoint,server/routes/entities.py,update_entity,entities.py route handler
API Endpoint,delete_entity,endpoint,server/routes/entities.py,delete_entity,entities.py route handler
API Endpoint,forge_status,endpoint,server/routes/forge.py,forge_status,forge.py route handler
API Endpoint,forge_approvals,endpoint,server/routes/forge.py,forge_approvals,forge.py route handler
API Endpoint,forge_change,endpoint,server/routes/forge.py,forge_change,forge.py route handler
API Endpoint,get_live_intel_route,endpoint,server/routes/functions.py,get_live_intel_route,functions.py route handler
