file,exists,bytes
ui/jarvis_enterprise_operator_full/package.json,True,697
ui/jarvis_enterprise_operator_full/index.html,True,73
ui/jarvis_enterprise_operator_full/tsconfig.json,True,254
ui/jarvis_enterprise_operator_full/src/main.tsx,True,2089
ui/jarvis_enterprise_operator_full/src/contracts/types.ts,True,876
ui/jarvis_enterprise_operator_full/src/state/operatorStore.ts,True,832
ui/jarvis_enterprise_operator_full/src/engine/graphPolicy.ts,True,1704
ui/jarvis_enterprise_operator_full/src/engine/layoutEngine.ts,True,1466
ui/jarvis_enterprise_operator_full/src/engine/binaryTransport.ts,True,1057
ui/jarvis_enterprise_operator_full/src/engine/gpuPicking.ts,True,439
ui/jarvis_enterprise_operator_full/src/engine/quaternionCamera.ts,True,773
ui/jarvis_enterprise_operator_full/src/proto/graph_delta.proto,True,734
ui/jarvis_enterprise_operator_full/src/workers/layout.worker.ts,True,758
ui/jarvis_enterprise_operator_full/src/wasm/README.md,True,449
ui/jarvis_enterprise_operator_full/src/components/PlaneSelector.tsx,True,487
ui/jarvis_enterprise_operator_full/src/components/LayerInspector.tsx,True,913
ui/jarvis_enterprise_operator_full/src/components/GraphCanvas.tsx,True,1779
ui/jarvis_enterprise_operator_full/src/components/JarvisOperator.tsx,True,2271
ui/jarvis_enterprise_operator_full/src/components/MetricsPanel.tsx,True,253
ui/jarvis_enterprise_operator_full/src/data/architecture.manifest.json,True,573
ui/jarvis_enterprise_operator_full/src/data/visual_graph.sample.json,True,964
ui/jarvis_enterprise_operator_full/src/styles/operator.css,False,0
ui/jarvis_enterprise_operator_full/README.md,True,902
